Référence Objet	Prix Départ	Dernier Prix	Etat	Acheteur
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
150	0	0	Vendu	None
